TableS1.- Genes included in SureSelect capture library.		
A: Previously analyzed genes (Liu et al, Nature 2008; Pavri et al, Cell, 2008); B: Cancer related genes; C: Randomly picked genes		

Gene	Origin	Status
Nr3c2	C	Non-mutated
Nr4a2	C	Non-mutated
Ntan1	C	Mutated
Nup160	C	Non-mutated
Nup62	C	Non-mutated
Nupr1	C	Non-mutated
Oit1	C	Non-mutated
Oprd1	C	Non-mutated
Pafah1b1	C	Non-mutated
Pak1	C	Non-mutated
Parg	C	Non-mutated
Parp1	C	Mutated
Parp2	C	Non-mutated
Parp4	C	Non-mutated
Pax2	C	Non-mutated
Pax6	C	Non-mutated
Paxip1	C	Non-mutated
Pcsk1	C	Non-mutated
Pdcd1lg2	C	Non-mutated
Pde6g	C	Non-mutated
Pdgfa	C	Non-mutated
Pdgfb	C	Non-mutated
Pdgfc	C	Non-mutated
Pdgfra	C	Non-mutated
Pea15b	C	Non-mutated
Perp	C	Non-mutated
Pex13	C	Mutated
Pgm1	C	Non-mutated
Phf21a	C	Non-mutated
Phgr1	C	Non-mutated
Pias1	C	Mutated
Pick1	C	Mutated
Pik3c2b	C	Non-mutated
Pik3cd	C	Non-mutated
Pim2	C	Non-mutated
Pin1	C	Non-mutated
Pip5k1b	C	Non-mutated
Pitx3	C	Non-mutated
Pkd1	C	Non-mutated
Pkn1	C	Non-mutated
Pla2g15	C	Non-mutated
Plaa	C	Non-mutated
Plac8	C	Mutated
Plat	C	Non-mutated
Plcb2	C	Mutated
Plch2	C	Non-mutated
Plcl1	C	Non-mutated
Plk2	C	Non-mutated
Plscr3	C	Non-mutated
Pms2	C	Mutated
Pnliprp2	C	Non-mutated
Pnp	C	Non-mutated
Pnpla6	C	Non-mutated
Pola1	C	Mutated
Pola2	C	Non-mutated
Polb	C	Non-mutated
Pold1	C	Mutated
Polg	C	Non-mutated
Polh	C	Non-mutated
Polk	C	Non-mutated
Polr1b	C	Non-mutated
Pomc	C	Non-mutated
Postn	C	Non-mutated
Pot1a	C	Non-mutated
Pot1b	C	Non-mutated
Pou2f1	C	Mutated
Pou2f2	C	Mutated
Pou2f3	C	Non-mutated
Pou3f2	C	Non-mutated
Pou3f3	C	Non-mutated
Pou4f1	C	Non-mutated
Pou4f2	C	Non-mutated
Pou4f3	C	Non-mutated
Ppard	C	Mutated
Ppargc1a	C	Non-mutated
Ppia	C	Mutated
Ppm1j	C	Non-mutated
Ppm1l	C	Non-mutated
Ppp1r15a	C	Non-mutated
Ppp1r15b	C	Mutated
Ppp3ca	C	Non-mutated
Prdm1	C	Non-mutated
Prdx6	C	Non-mutated
Prkaa1	C	Non-mutated
Prkcg	C	Non-mutated
Prkci	C	Non-mutated
Prkdc	C	Non-mutated
Prkra	C	Non-mutated
Prl4a1	C	Non-mutated
Prlr	C	Non-mutated
Prss1	C	Non-mutated
Prss3	C	Non-mutated
Psap	C	Non-mutated
Psmb4	C	Non-mutated
Psmc3	C	Mutated
Psme1	C	Non-mutated
Psme2	C	Non-mutated
Ptbp2	C	Mutated
Pten	C	Mutated
Ptf1a	C	Non-mutated
Ptk2	C	Non-mutated
Ptk2b	C	Non-mutated
Ptk7	C	Non-mutated
Ptp4a1	C	Non-mutated
Ptpn1	C	Non-mutated
Ptpra	C	Non-mutated
Ptprm	C	Non-mutated
Ptprt	C	Non-mutated
Ptrf	C	Non-mutated
Pttg1	C	Non-mutated
Pvrl1	C	Non-mutated
Pycard	C	Non-mutated
Qtrtd1	C	Non-mutated
Rab27a	C	Non-mutated
Rab3a	C	Non-mutated
Rab3c	C	Non-mutated
Rab4a	C	Non-mutated
Rab5b	C	Non-mutated
Rab5c	C	Non-mutated
Rac1	C	Mutated
Rac3	C	Non-mutated
Rad17	C	Non-mutated
Rad23a	C	Mutated
Rad23b	C	Non-mutated
Rad51c	C	Non-mutated
Rad52	C	Non-mutated
Rad54b	C	Non-mutated
Rad54b	C	Non-mutated
Rad54l	C	Non-mutated
Rad9	C	Mutated
Rag1	C	Non-mutated
Rala	C	Non-mutated
Ramp1	C	Non-mutated
Rasgrf1	C	Non-mutated
Rb1	C	Non-mutated
Rb1cc1	C	Non-mutated
Rbbp7	C	Non-mutated
Rbl1	C	Non-mutated
Rbm15	C	Mutated
Rbm19	C	Mutated
Rbpjl	C	Non-mutated
Rdx	C	Non-mutated
Rec8	C	Non-mutated
Recql4	C	Mutated
Reg4	C	Non-mutated
Rell2	C	Non-mutated
Ret	C	Non-mutated
Rev1	C	Non-mutated
Rfx3	C	Non-mutated
Rgma	C	Non-mutated
Rgmb	C	Non-mutated
Rgs13	C	Mutated
Rgs9bp	C	Non-mutated
Rhoa	C	Non-mutated
Rhob	C	Non-mutated
Rictor	C	Non-mutated
Rims1	C	Mutated
Rims2	C	Non-mutated
Rnaseh1	C	Non-mutated
Rnf11	C	Non-mutated
Rnf130	C	Non-mutated
Rnf2	C	Mutated
Ror2	C	Non-mutated
Ros1	C	Non-mutated
Rpa1	C	Mutated
Rpl29	C	Mutated
Rpl32	C	Mutated
Rpl35	C	Mutated
Rpl4	C	Mutated
Rpl41	C	Mutated
Rplp0	C	Mutated
Rps14	C	Mutated
Rps5	C	Mutated
Rps6	C	Mutated
Rps9	C	Mutated
Rras	C	Non-mutated
Rrn3	C	Non-mutated
Rsc1a1	C	Non-mutated
Rsu1	C	Non-mutated
Rtel1	C	Non-mutated
Runx1t1	C	Mutated
Ryr2	C	Non-mutated
S100a16	C	Non-mutated
S100a6	C	Non-mutated
Saa1	C	Non-mutated
Safb	C	Mutated
Satb2	C	Non-mutated
Scai	C	Non-mutated
Scarf2	C	Non-mutated
Scn1a	C	Non-mutated
Scnm1	C	Non-mutated
Sdc1	C	Non-mutated
Selenbp1	C	Non-mutated
Selp	C	Non-mutated
Sema3a	C	Non-mutated
Serpinb9	C	Non-mutated
Serpine1	C	Non-mutated
Sertad1	C	Non-mutated
Sf3b1	C	Mutated
Sfn	C	Non-mutated
Sgol2	C	Non-mutated
Sgsm3	C	Non-mutated
Shb	C	Non-mutated
Shh	C	Non-mutated
Siglece	C	Non-mutated
Sin3b	C	Non-mutated
Sipa1	C	Mutated
Sirpa	C	Non-mutated
Sirpb1a	C	Non-mutated
Sirt1	C	Non-mutated
Sirt4	C	Non-mutated
Sirt6	C	Mutated
Skap2	C	Non-mutated
Ski	C	Non-mutated
Sla2	C	Non-mutated
Slc25a5	C	Non-mutated
Slc26a9	C	Non-mutated
Slc2a2	C	Non-mutated
Slc30a6	C	Mutated
Slc35c1	C	Non-mutated
Slfn1	C	Non-mutated
Smad2	C	Non-mutated
Smad3	C	Non-mutated
Smad4	C	Non-mutated
Smad6	C	Non-mutated
Smarca1	C	Non-mutated
Smc1b	C	Non-mutated
Smoc1	C	Non-mutated
Smoc2	C	Non-mutated
Smyd1	C	Non-mutated
Snai2	C	Non-mutated
Sncg	C	Non-mutated
Socs1	C	Non-mutated
Socs5	C	Non-mutated
Sod1	C	Mutated
Sox7	C	Non-mutated
Sox9	C	Non-mutated
Sp1	C	Non-mutated
Sp3	C	Mutated
Sparc	C	Non-mutated
Spdya	C	Non-mutated
Sphk1	C	Non-mutated
Spink4	C	Non-mutated
Spink5	C	Non-mutated
Spn	C	Non-mutated
Spock2	C	Non-mutated
Sprr2a1	C	Non-mutated
Sprr2a2	C	Non-mutated
Sprr2b	C	Non-mutated
Sra1	C	Mutated
Src	C	Non-mutated
Srcin1	C	Non-mutated
Srf	C	Non-mutated
Srpk2	C	Non-mutated
Srrd	C	Non-mutated
Srsf1	C	Non-mutated
Ss18l1	C	Non-mutated
Ssbp1	C	Non-mutated
Sst	C	Non-mutated
Sstr2	C	Non-mutated
Stac	C	Non-mutated
Stap1	C	Non-mutated
Star	C	Non-mutated
Stat3	C	Non-mutated
Stat4	C	Non-mutated
Stat5a	C	Non-mutated
Stat5b	C	Non-mutated
Stau1	C	Mutated
Steap4	C	Non-mutated
Strap	C	Non-mutated
Stub1	C	Non-mutated
Stx3	C	Mutated
Sumo3	C	Non-mutated
Sv2a	C	Non-mutated
Sv2b	C	Mutated
Swap70	C	Mutated
Syn1	C	Non-mutated
Sync	C	Non-mutated
Syngr1	C	Non-mutated
Syngr3	C	Non-mutated
Synpo	C	Non-mutated
Syp	C	Non-mutated
Sypl2	C	Non-mutated
Sytl1	C	Non-mutated
Taf10	C	Non-mutated
Taf4a	C	Mutated
Taf7l	C	Non-mutated
Taf8	C	Non-mutated
Taf9	C	Mutated
Taf9	C	Mutated
Tbp	C	Non-mutated
Tbpl1	C	Non-mutated
Tbpl2	C	Non-mutated
Tcf21	C	Non-mutated
Tcf3	C	Mutated
Tcf4	C	Mutated
Tcf7l2	C	Non-mutated
Tdrd1	C	Non-mutated
Tdrd6	C	Non-mutated
Tead2	C	Non-mutated
Tek	C	Non-mutated
Tekt2	C	Non-mutated
Tenc1	C	Non-mutated
Tep1	C	Non-mutated
Tet2	C	Mutated
Tfap2a	C	Non-mutated
Tfap2e	C	Non-mutated
Tfap4	C	Mutated
Tfcp2l1	C	Non-mutated
Tfdp1	C	Mutated
Tfdp2	C	Non-mutated
Tfe3	C	Non-mutated
Tfeb	C	Non-mutated
Tfec	C	Non-mutated
Tff3	C	Non-mutated
Tgfa	C	Non-mutated
Tgfb1	C	Non-mutated
Tgfb2	C	Non-mutated
Tgfb3	C	Non-mutated
Tgfbi	C	Non-mutated
Tgfbr1	C	Non-mutated
Tgif2	C	Non-mutated
Th	C	Non-mutated
Thra	C	Non-mutated
Tial1	C	Non-mutated
Tinf2	C	Non-mutated
Tk2	C	Non-mutated
Tlr1	C	Non-mutated
Tlr2	C	Non-mutated
Bbox2	C	Non-mutated
Tmod1	C	Non-mutated
Tmsb4x	C	Mutated
Tnf	C	Mutated
Tnfaip1	C	Non-mutated
Tnfrsf11b	C	Non-mutated
Tnfrsf12a	C	Non-mutated
Tnfrsf4	C	Non-mutated
Tnfsf11	C	Non-mutated
Tnks2	C	Non-mutated
Tnn	C	Non-mutated
Tnp2	C	Non-mutated
Top2a	C	Mutated
Top2b	C	Non-mutated
Top3b	C	Non-mutated
Topors	C	Mutated
Tpi1	C	Non-mutated
Tpm1	C	Non-mutated
Traf3ip2	C	Non-mutated
Traf4	C	Non-mutated
Traf6	C	Non-mutated
Trhr2	C	Non-mutated
Trim63	C	Non-mutated
Trp53bp1	C	Non-mutated
Trp53bp2	C	Non-mutated
Trpt1	C	Non-mutated
Tsg101	C	Non-mutated
Tspan1	C	Non-mutated
Ttf1	C	Mutated
Ttll8	C	Non-mutated
Tyr	C	Non-mutated
U2af2	C	Mutated
Uba3	C	Mutated
Ubb	C	Mutated
Ube2b	C	Mutated
Ube2n	C	Mutated
Ube3a	C	Non-mutated
Ube4b	C	Mutated
Ubox5	C	Mutated
Ubtf	C	Mutated
Uchl1	C	Non-mutated
Ucp3	C	Non-mutated
Ufm1	C	Non-mutated
Ufm1	C	Non-mutated
Uhmk1	C	Mutated
A430108B07Rik	C	Non-mutated
Uncx	C	Non-mutated
Uqcrh	C	Non-mutated
Uqcrq	C	Non-mutated
Usp22	C	Non-mutated
Usp8	C	Non-mutated
Vav1	C	Mutated
Vav2	C	Mutated
Vav3	C	Non-mutated
Vcan	C	Non-mutated
Vcl	C	Mutated
Vdac1	C	Mutated
Vdr	C	Non-mutated
Vezt	C	Non-mutated
Vhl	C	Non-mutated
Vim	C	Non-mutated
Vnn3	C	Non-mutated
Vrk1	C	Non-mutated
Vsx1	C	Non-mutated
Vtn	C	Non-mutated
Vwa1	C	Non-mutated
Vwc2	C	Non-mutated
Wisp2	C	Non-mutated
Wnt7b	C	Non-mutated
Wt1	C	Non-mutated
Wwp1	C	Non-mutated
Xab2	C	Non-mutated
Xbp1	C	Mutated
Xiap	C	Non-mutated
Xpa	C	Non-mutated
Xpc	C	Non-mutated
Xrcc6	C	Non-mutated
Zbtb7a	C	Non-mutated
Zc3h15	C	Mutated
Zdhhc1	C	Non-mutated
Zdhhc8	C	Non-mutated
Zeb1	C	Non-mutated
Zfand6	C	Non-mutated
Zfp467	C	Non-mutated
Zfp488	C	Non-mutated
Zg16	C	Non-mutated
Zglp1	C	Non-mutated
Zhx2	C	Non-mutated
Zmiz1	C	Non-mutated
Zmpste24	C	Non-mutated
Zp3	C	Non-mutated
Zscan21	C	Non-mutated
