TableS1.- Genes included in SureSelect capture library.		
A: Previously analyzed genes (Liu et al, Nature 2008; Pavri et al, Cell, 2008); B: Cancer related genes; C: Randomly picked genes		

Gene	Origin	Status
Acot3	C	Non-mutated
Acot7	C	Mutated
Acr	C	Non-mutated
Acsl6	C	Non-mutated
Acsm1	C	Non-mutated
Acss1	C	Non-mutated
Actb	C	Mutated
Acvr1	C	Non-mutated
Adamts20	C	Non-mutated
Adamts9	C	Non-mutated
Adamtsl4	C	Non-mutated
Adar	C	Mutated
Adc	C	Non-mutated
Adcy9	C	Non-mutated
Adcyap1	C	Non-mutated
Adh1	C	Non-mutated
Adipoq	C	Non-mutated
Adora2b	C	Non-mutated
Adss	C	Non-mutated
Aebp1	C	Non-mutated
Aes	C	Non-mutated
Aff2	C	Non-mutated
Agk	C	Mutated
Agr2	C	Non-mutated
Agtpbp1	C	Non-mutated
Aifm1	C	Non-mutated
Aire	C	Non-mutated
Akap2	C	Non-mutated
Akap8	C	Mutated
Akt1	C	Non-mutated
Akt2	C	Non-mutated
Alcam	C	Non-mutated
Alpk3	C	Non-mutated
Als2cl	C	Non-mutated
Amd1	C	Non-mutated
Ank3	C	Non-mutated
Anxa5	C	Non-mutated
Anxa6	C	Non-mutated
Anxa7	C	Non-mutated
Aoah	C	Non-mutated
Apex1	C	Mutated
Apip	C	Non-mutated
Apoa1	C	Non-mutated
Apoa4	C	Non-mutated
Apobec1	C	Mutated
Apobec2	C	Non-mutated
Apoc3	C	Non-mutated
Apoe	C	Mutated
Aptx	C	Non-mutated
Aqp2	C	Non-mutated
Aqp8	C	Non-mutated
Arhgap31	C	Non-mutated
Arl4a	C	Non-mutated
Arpp21	C	Non-mutated
Arrb1	C	Non-mutated
Art2a-ps	C	Non-mutated
Ascl3	C	Non-mutated
Asf1b	C	Non-mutated
Aspn	C	Non-mutated
Atf5	C	Mutated
Atg13	C	Non-mutated
Atp12a	C	Non-mutated
Atp4a	C	Non-mutated
Atp5b	C	Mutated
Atp5e	C	Mutated
Atp5j2	C	Non-mutated
Atp5o	C	Mutated
Atpif1	C	Non-mutated
Atr	C	Non-mutated
Atrnl1	C	Non-mutated
Atrx	C	Non-mutated
Atxn1	C	Non-mutated
Atxn2	C	Non-mutated
Aurka	C	Non-mutated
Aurkb	C	Non-mutated
Avil	C	Non-mutated
Avp	C	Non-mutated
Azi2	C	Non-mutated
B4galt1	C	Non-mutated
Bad	C	Mutated
Bak1	C	Non-mutated
Barx2	C	Non-mutated
Bax	C	Non-mutated
Baz2a	C	Non-mutated
Bbs4	C	Non-mutated
Bcam	C	Non-mutated
Bcap31	C	Non-mutated
Bcat1	C	Non-mutated
Bcl11b	C	Non-mutated
Bcl3	C	Non-mutated
Bcl6b	C	Non-mutated
Bco2	C	Non-mutated
Bcr	C	Non-mutated
Best2	C	Non-mutated
Bgn	C	Non-mutated
Bid	C	Mutated
Bmf	C	Non-mutated
Bmi1	C	Non-mutated
Bmp2k	C	Mutated
Bnip3	C	Non-mutated
Bop1	C	Non-mutated
Brca1	C	Mutated
Brca2	C	Non-mutated
Brf1	C	Non-mutated
Brms1	C	Non-mutated
Brsk1	C	Non-mutated
Btg4	C	Non-mutated
Btrc	C	Non-mutated
Bub1	C	Non-mutated
Bub1b	C	Non-mutated
Bub3	C	Non-mutated
C1d	C	Non-mutated
C2cd3	C	Mutated
C3	C	Non-mutated
Cabp4	C	Non-mutated
Cacna1a	C	Non-mutated
Cacna1e	C	Non-mutated
Cacna1s	C	Non-mutated
Cacnb2	C	Non-mutated
Cacnb3	C	Non-mutated
Cacng4	C	Mutated
Cadm1	C	Non-mutated
Cadps2	C	Non-mutated
Calca	C	Non-mutated
Calm1	C	Mutated
Camk1d	C	Non-mutated
Capn2	C	Non-mutated
Capn3	C	Non-mutated
Car1	C	Non-mutated
Car2	C	Non-mutated
Car4	C	Non-mutated
Carf	C	Non-mutated
Casc3	C	Non-mutated
Casp1	C	Non-mutated
Casr	C	Non-mutated
Cat	C	Mutated
Cav2	C	Non-mutated
Cbll1	C	Non-mutated
Cbr2	C	Non-mutated
Cbx1	C	Non-mutated
Cby1	C	Non-mutated
Coa3	C	Non-mutated
Cckar	C	Non-mutated
Ccl1	C	Non-mutated
Ccl28	C	Non-mutated
Ccnb1ip1	C	Non-mutated
Ccne1	C	Non-mutated
Ccne2	C	Mutated
Ccr1	C	Non-mutated
Ccr7	C	Non-mutated
Ccrn4l	C	Non-mutated
Cd1d1	C	Non-mutated
Cd1d2	C	Non-mutated
Cd209b	C	Non-mutated
Cd24a	C	Mutated
Cd27	C	Non-mutated
Cd28	C	Non-mutated
Cd300lf	C	Non-mutated
Cd36	C	Non-mutated
Cd3e	C	Non-mutated
Cd40lg	C	Non-mutated
Cd48	C	Mutated
Cd5	C	Non-mutated
Cd74	C	Mutated
Cd9	C	Non-mutated
Cdc42bpa	C	Non-mutated
Cdc42ep1	C	Non-mutated
Cdh1	C	Non-mutated
Cdh4	C	Non-mutated
Cdk1	C	Non-mutated
Cdk11b	C	Mutated
Cdk4	C	Mutated
Cdk5	C	Non-mutated
Cdkn1a	C	Non-mutated
Cdkn1b	C	Non-mutated
Cdkn2a	C	Non-mutated
Cdkn2b	C	Non-mutated
Cdkn2c	C	Non-mutated
Cdt1	C	Non-mutated
Cebpa	C	Non-mutated
Cebpb	C	Non-mutated
Cebpd	C	Non-mutated
Cebpe	C	Non-mutated
Cebpg	C	Non-mutated
Cela1	C	Non-mutated
Cela2a	C	Non-mutated
Celf1	C	Non-mutated
Celf2	C	Non-mutated
Celf3	C	Non-mutated
Celf4	C	Non-mutated
Cenpf	C	Non-mutated
Cenpk	C	Non-mutated
Cetn1	C	Non-mutated
Chd1	C	Non-mutated
Chd7	C	Non-mutated
Chek1	C	Mutated
Chek2	C	Non-mutated
Chrna1	C	Non-mutated
Chrna6	C	Non-mutated
Chrnb2	C	Non-mutated
Cirbp	C	Non-mutated
Cish	C	Non-mutated
Ckmt1	C	Non-mutated
Clca1	C	Non-mutated
Clcn1	C	Non-mutated
Clcn2	C	Non-mutated
Clcnka	C	Non-mutated
Cldn1	C	Non-mutated
Clk1	C	Mutated
Cln6	C	Non-mutated
Cnbp	C	Mutated
Cnga2	C	Non-mutated
Col1a1	C	Non-mutated
Col5a3	C	Non-mutated
Cox10	C	Non-mutated
Cox4i1	C	Mutated
Cox6a1	C	Mutated
Cox6b1	C	Non-mutated
Cox6c	C	Non-mutated
Cox8a	C	Mutated
Cpa1	C	Non-mutated
Cpeb1	C	Non-mutated
Cradd	C	Mutated
Crcp	C	Non-mutated
Creb1	C	Non-mutated
Crebbp	C	Non-mutated
Crem	C	Non-mutated
Crip3	C	Non-mutated
Crlf1	C	Non-mutated
Cry2	C	Non-mutated
Csf1	C	Non-mutated
Csf2	C	Non-mutated
Csk	C	Mutated
Csnk1d	C	Mutated
Csrnp2	C	Non-mutated
Ctbp2	C	Non-mutated
Ctcf	C	Non-mutated
Ctcfl	C	Non-mutated
Ctgf	C	Non-mutated
Ctnna3	C	Non-mutated
Ctnnd1	C	Non-mutated
Ctsd	C	Non-mutated
Ctse	C	Non-mutated
Ctsg	C	Non-mutated
Ctss	C	Non-mutated
Cxadr	C	Non-mutated
Cybrd1	C	Non-mutated
Cycs	C	Non-mutated
Cyfip1	C	Non-mutated
Cyp11b1	C	Non-mutated
Cyp11b2	C	Non-mutated
Cyp1a1	C	Non-mutated
Cyp2c55	C	Non-mutated
Cyp39a1	C	Non-mutated
Cyth3	C	Non-mutated
Dand5	C	Non-mutated
Dao	C	Non-mutated
Dap3	C	Non-mutated
Daxx	C	Mutated
Dbh	C	Non-mutated
Dbi	C	Non-mutated
Dcn	C	Non-mutated
Dctn3	C	Non-mutated
Ddb2	C	Mutated
Ddit3	C	Non-mutated
Ddr1	C	Non-mutated
Ddx20	C	Mutated
Ddx5	C	Mutated
Deaf1	C	Non-mutated
Dedd	C	Non-mutated
Defb8	C	Non-mutated
Dffa	C	Non-mutated
Dgat2	C	Non-mutated
Dgki	C	Non-mutated
Dgkz	C	Non-mutated
Dguok	C	Non-mutated
Dhrs4	C	Non-mutated
Dicer1	C	Non-mutated
Dlc1	C	Non-mutated
Dld	C	Non-mutated
Dmap1	C	Non-mutated
Dmc1	C	Non-mutated
Dnaja1	C	Non-mutated
Dnajb11	C	Non-mutated
Dnd1	C	Non-mutated
Dnmt1	C	Mutated
Dnmt3a	C	Non-mutated
Dnmt3l	C	Non-mutated
Dntt	C	Non-mutated
Doc2a	C	Non-mutated
Dock7	C	Non-mutated
Dok1	C	Mutated
Dpf1	C	Non-mutated
Drd5	C	Non-mutated
Dsg4	C	Mutated
Dsp	C	Non-mutated
Dtx2	C	Non-mutated
Usp17la	C	Non-mutated
Usp17lb	C	Non-mutated
Duox2	C	Non-mutated
Dusp22	C	Non-mutated
Dusp6	C	Mutated
Dyrk3	C	Mutated
E2f1	C	Mutated
E2f2	C	Mutated
E2f4	C	Non-mutated
E2f7	C	Non-mutated
E4f1	C	Mutated
Ear2	C	Non-mutated
Ebf3	C	Non-mutated
Ebf4	C	Non-mutated
Ect2	C	Non-mutated
Eda	C	Non-mutated
Edil3	C	Non-mutated
Eef1a1	C	Mutated
Egf	C	Non-mutated
Egfl7	C	Non-mutated
Egfr	C	Non-mutated
Egr2	C	Non-mutated
Ehhadh	C	Non-mutated
Ehmt2	C	Non-mutated
Eif2a	C	Mutated
Eif2ak4	C	Non-mutated
Eif3a	C	Mutated
Eif3b	C	Non-mutated
Eif3d	C	Mutated
Eif5a	C	Mutated
Elane	C	Non-mutated
Elf1	C	Non-mutated
Elf4	C	Non-mutated
Elf5	C	Non-mutated
Elk1	C	Non-mutated
Ell	C	Mutated
Eln	C	Non-mutated
Elp2	C	Non-mutated
Enox1	C	Non-mutated
Enox2	C	Non-mutated
Epb4.1l5	C	Non-mutated
Epcam	C	Non-mutated
Epgn	C	Non-mutated
Ephb2	C	Non-mutated
Ephx1	C	Non-mutated
Erap1	C	Non-mutated
Erbb2	C	Non-mutated
Erbb3	C	Non-mutated
Ercc1	C	Non-mutated
Ercc2	C	Non-mutated
Ercc4	C	Non-mutated
Ercc5	C	Non-mutated
Ereg	C	Non-mutated
Eri1	C	Mutated
Esam	C	Non-mutated
Esrra	C	Non-mutated
Esrrb	C	Non-mutated
Esrrg	C	Non-mutated
Etnk2	C	Non-mutated
Etv4	C	Non-mutated
Etv6	C	Non-mutated
Exo1	C	Non-mutated
Ezr	C	Non-mutated
Fabp2	C	Non-mutated
Fabp5	C	Non-mutated
Fabp7	C	Non-mutated
Faf1	C	Non-mutated
Faim	C	Non-mutated
Fancc	C	Non-mutated
Fancd2	C	Non-mutated
Fancg	C	Non-mutated
Far1	C	Non-mutated
Fasl	C	Non-mutated
Fau	C	Non-mutated
Fbl	C	Non-mutated
Fbxl12	C	Non-mutated
Fbxo11	C	Non-mutated
Fbxo5	C	Non-mutated
Fbxo8	C	Non-mutated
Fcgr1	C	Non-mutated
Fcgr3	C	Non-mutated
Ferd3l	C	Non-mutated
Ffar1	C	Non-mutated
Fgd4	C	Non-mutated
Fgf1	C	Non-mutated
Fgf2	C	Non-mutated
Fgf3	C	Non-mutated
Fgf4	C	Non-mutated
Fgf6	C	Non-mutated
Fgf7	C	Non-mutated
Fgfr1	C	Non-mutated
Fgfr1	C	Non-mutated
Figf	C	Non-mutated
Flt4	C	Non-mutated
Fntb	C	Non-mutated
Fos	C	Non-mutated
Fosl1	C	Non-mutated
Fosl2	C	Non-mutated
Foxa1	C	Non-mutated
Foxc1	C	Non-mutated
Foxc2	C	Non-mutated
Foxd1	C	Non-mutated
Foxe3	C	Non-mutated
Foxf2	C	Non-mutated
Foxg1	C	Non-mutated
Foxj1	C	Non-mutated
Foxl2	C	Non-mutated
Foxo3	C	Non-mutated
Foxo4	C	Mutated
Foxp1	C	Non-mutated
Foxp3	C	Non-mutated
Fpr1	C	Non-mutated
Frat1	C	Non-mutated
Frem1	C	Non-mutated
Fscn2	C	Non-mutated
Fth1	C	Mutated
Ftl1	C	Mutated
Fyb	C	Non-mutated
Fyn	C	Non-mutated
Gab3	C	Non-mutated
Gabrg1	C	Non-mutated
Gadd45a	C	Non-mutated
Gadd45g	C	Mutated
Gale	C	Non-mutated
Galnt1	C	Mutated
Gamt	C	Non-mutated
Gap43	C	Non-mutated
Gas1	C	Non-mutated
Gas7	C	Non-mutated
Gata2	C	Non-mutated
Gata3	C	Non-mutated
Gata4	C	Non-mutated
Gata6	C	Non-mutated
Gck	C	Non-mutated
Gdap1	C	Non-mutated
Gdf5	C	Non-mutated
Gdf7	C	Non-mutated
Gdi2	C	Mutated
Ghr	C	Non-mutated
Ghrhr	C	Non-mutated
Gigyf1	C	Non-mutated
Gins1	C	Non-mutated
Gja1	C	Non-mutated
Gja10	C	Non-mutated
Gjc2	C	Non-mutated
Gkap1	C	Non-mutated
Glis1	C	Non-mutated
Gls	C	Non-mutated
Gm1821	C	Non-mutated
Gm5409	C	Non-mutated
Gna12	C	Non-mutated
Gna13	C	Mutated
Gnao1	C	Non-mutated
Gng2	C	Non-mutated
Gnpat	C	Non-mutated
Got1	C	Non-mutated
Gpat2	C	Non-mutated
Gpd1	C	Non-mutated
Gphn	C	Non-mutated
Gpnmb	C	Non-mutated
Gpr12	C	Non-mutated
